concept,FY 2025,FY 2024,FY 2023
depreciation_amortization,8000000000.0,8200000000.0,8500000000.0
stock_based_compensation,12863000000.0,11688000000.0,10833000000.0
operating_cash_flow,111482000000.0,118254000000.0,110543000000.0
net_cash_from_investing,15195000000.0,2935000000.0,3705000000.0
capital_expenditures,12715000000.0,9447000000.0,10959000000.0
share_repurchases,90711000000.0,94949000000.0,77550000000.0
net_cash_from_financing,-120686000000.0,-121983000000.0,-108488000000.0
dividends_paid,15421000000.0,15234000000.0,15025000000.0
interest_paid,,,3803000000.0
income_taxes_paid,43369000000.0,26102000000.0,18679000000.0
