concept,FY 2025,FY 2024,FY 2023
revenue,416161000000.0,391035000000.0,383285000000.0
cost_of_revenue,220960000000.0,210352000000.0,214137000000.0
gross_profit,195201000000.0,180683000000.0,169148000000.0
research_and_development,34550000000.0,31370000000.0,29915000000.0
operating_expense,62151000000.0,57467000000.0,54847000000.0
selling_general_admin,27601000000.0,26097000000.0,24932000000.0
operating_income,133050000000.0,123216000000.0,114301000000.0
pretax_income,132729000000.0,123485000000.0,113736000000.0
income_tax_expense,20719000000.0,29749000000.0,16741000000.0
net_income,112010000000.0,93736000000.0,96995000000.0
diluted_eps,7.46,6.08,6.13
interest_expense,,,3933000000.0
