concept,FY 2026,FY 2025,FY 2024
depreciation_amortization,2843000000.0,1864000000.0,1508000000.0
stock_based_compensation,6386000000.0,4737000000.0,3549000000.0
operating_cash_flow,102718000000.0,64089000000.0,28090000000.0
net_cash_from_investing,-52228000000.0,-20421000000.0,-10566000000.0
share_repurchases,40086000000.0,33706000000.0,9533000000.0
net_cash_from_financing,-48474000000.0,-42359000000.0,-13633000000.0
dividends_paid,974000000.0,834000000.0,395000000.0
interest_paid,,246000000.0,252000000.0
income_taxes_paid,20288000000.0,15118000000.0,6549000000.0
capital_expenditures,6042000000.0,3236000000.0,1069000000.0
