concept,FY 2026,FY 2025,FY 2024
revenue,215938000000.0,130497000000.0,60922000000.0
cost_of_revenue,62475000000.0,32639000000.0,16621000000.0
gross_profit,153463000000.0,97858000000.0,44301000000.0
research_and_development,18497000000.0,12914000000.0,8675000000.0
operating_expense,23076000000.0,16405000000.0,11329000000.0
selling_general_admin,4579000000.0,3491000000.0,2654000000.0
operating_income,130387000000.0,81453000000.0,32972000000.0
income_tax_expense,21383000000.0,11146000000.0,4058000000.0
net_income,120067000000.0,72880000000.0,29760000000.0
diluted_eps,4.9,2.94,11.93
interest_expense,,,257000000.0
