concept,FY 2025,FY 2024,FY 2023
revenue,94827000000.0,97690000000.0,96773000000.0
cost_of_revenue,77733000000.0,80240000000.0,79113000000.0
gross_profit,17094000000.0,17450000000.0,17660000000.0
research_and_development,6411000000.0,4540000000.0,3969000000.0
operating_expense,12739000000.0,10374000000.0,8769000000.0
selling_general_admin,5834000000.0,5150000000.0,4800000000.0
operating_income,4355000000.0,7076000000.0,8891000000.0
income_tax_expense,1423000000.0,1837000000.0,-5001000000.0
net_income,3794000000.0,7091000000.0,14997000000.0
diluted_eps,1.08,2.04,4.3
interest_expense,,,156000000.0
