statement_type,raw_tag,count,ticker_count,tickers,example_labels,max_non_null_periods,avg_non_null_periods,is_abstract_values,is_total_values,depth_values,section_values,avg_confidence
balance_sheet,CommonStockValue,2,2,"NVDA, TSLA","Common Stock, Value, Issued",3,3.0,False,False,2,,0.770392749244713
balance_sheet,Goodwill,2,2,"NVDA, TSLA",Goodwill,3,3.0,False,False,1,,0.5649546827794562
balance_sheet,IntangibleAssetsNetExcludingGoodwill,2,2,"NVDA, TSLA","Intangible Assets, Net (Excluding Goodwill)",3,3.0,False,False,1,,0.40483383685800606
balance_sheet,PrepaidExpenseAndOtherAssetsCurrent,2,2,"NVDA, TSLA","Prepaid Expense and Other Assets, Current",3,3.0,False,False,2,,0.32326283987915405
balance_sheet,AccruedLiabilitiesCurrent,1,1,NVDA,"Accrued Liabilities, Current",3,3.0,False,True,2,,0.5526
balance_sheet,AdditionalPaidInCapital,1,1,NVDA,Additional Paid in Capital,3,3.0,False,False,2,,0.4471299093655589
balance_sheet,AdditionalPaidInCapitalCommonStock,1,1,TSLA,"Additional Paid in Capital, Common Stock",3,3.0,False,False,2,,0.3595166163141994
balance_sheet,CommitmentsAndContingencies,1,1,NVDA,Commitments and Contingencies,2,2.0,False,False,1,,0.6827794561933535
balance_sheet,DeferredIncomeTaxLiabilitiesNet,1,1,NVDA,"Deferred Income Tax Liabilities, Net",3,3.0,False,False,1,,0.38972809667673713
balance_sheet,MinorityInterest,1,1,TSLA,Stockholders' Equity Attributable to Noncontrolling Interest,3,3.0,False,False,0,,0.4078549848942598
balance_sheet,PreferredStockValue,1,1,TSLA,"Preferred Stock, Value, Issued",3,3.0,False,False,2,,0.4169184290030212
balance_sheet,RedeemableNoncontrollingInterestEquityCarryingAmount,1,1,TSLA,"Redeemable Noncontrolling Interest, Equity, Carrying Amount",3,3.0,False,False,1,Additional,0.5
balance_sheet,ShortTermInvestments,1,1,TSLA,Short-term Investments,3,3.0,False,False,1,Additional,0.5
cash_flow,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract,3,3,"AAPL, NVDA, TSLA",Adjustments to reconcile net income to net cash provided by operating activities:,0,0.0,True,False,1,,0.7794561933534743
cash_flow,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,3,3,"AAPL, NVDA, TSLA","Cash, Cash Equivalents, Restricted Cash and Restricted Cash Equivalents, Period Increase (Decrease), Including Exchange Rate Effect",3,3.0,False,True,0,,0.797583081570997
cash_flow,IncomeTaxExpenseBenefit,3,3,"AAPL, NVDA, TSLA",Income Tax Expense (Benefit),3,3.0,False,False,1,Additional,0.5
cash_flow,IncreaseDecreaseInAccountsReceivable,3,3,"AAPL, NVDA, TSLA",Increase (Decrease) in Accounts Receivable,3,3.0,False,False,3,,0.41087613293051356
cash_flow,IncreaseDecreaseInInventories,3,3,"AAPL, NVDA, TSLA",Increase (Decrease) in Inventories,3,3.0,False,False,3,,0.37462235649546827
cash_flow,IncreaseDecreaseInOperatingCapitalAbstract,3,3,"AAPL, NVDA, TSLA",Changes in operating assets and liabilities:,0,0.0,True,False,2,,0.7129909365558912
cash_flow,NetCashProvidedByUsedInFinancingActivitiesAbstract,3,3,"AAPL, NVDA, TSLA",Cash flows from financing activities:,0,0.0,True,False,0,,0.7854984894259819
cash_flow,NetCashProvidedByUsedInInvestingActivitiesAbstract,3,3,"AAPL, NVDA, TSLA",Cash flows from investing activities:,0,0.0,True,False,0,,0.7522658610271903
cash_flow,NetIncomeLoss,3,3,"AAPL, NVDA, TSLA",Net Income (Loss) Attributable to Parent,3,3.0,False,True,1,Additional,0.5
cash_flow,OperatingExpenses,3,3,"AAPL, NVDA, TSLA",Operating Expenses,3,3.0,False,False,1,Additional,0.5
